time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio
Flamengo,2021,5,19/06/2021,21:00,Sábado,06,Red Bull Bragantino,Derrota,2,3,Mandante,Braulio Da Silva Machado,28.5,5.5,179.4,6.3,25.1,3.8,180.8,6.9,Estádio do Maracanã
Flamengo,2021,6,23/06/2021,19:00,Quarta,06,Fortaleza,Vitória,2,1,Mandante,Anderson Daronco,28.9,5.1,179.5,6.5,28.5,4.4,181.0,4.6,Estádio do Maracanã
Flamengo,2021,7,27/06/2021,11:00,Domingo,06,Juventude,Derrota,0,1,Visitante,Thiago Luis Scarascati,28.6,5.5,179.8,7.8,27.5,3.9,181.6,6.0,Estádio Alfredo Jaconi
Flamengo,2021,8,01/07/2021,20:00,Quinta,07,Cuiabá,Vitória,2,0,Visitante,Rodolpho Toski Marques,27.4,5.2,178.8,6.5,29.6,3.7,180.4,6.0,Estádio Eurico Gaspar Dutra
Flamengo,2021,9,04/07/2021,16:00,Domingo,07,Fluminense,Derrota,0,1,Mandante,Luiz Flávio de Oliveira,27.8,4.9,180.7,7.6,27.4,5.5,178.2,7.6,Estádio do Maracanã
Flamengo,2021,10,07/07/2021,19:00,Quarta,07,Atlético Mineiro,Derrota,1,2,Visitante,Paulo Roberto Alves Junior,28.7,4.7,180.1,6.3,28.7,4.8,179.3,7.7,Governador Magalhães Pinto
Flamengo,2021,11,11/07/2021,18:15,Domingo,07,Chapecoense,Vitória,2,1,Mandante,Paulo Cesar Zanovelli da Silva,28.7,4.9,182.4,6.3,26.0,4.6,182.5,6.4,Estádio do Maracanã
Flamengo,2021,12,18/07/2021,18:15,Domingo,07,Bahia,Vitória,5,0,Visitante,Wilton Pereira Sampaio,30.4,4.3,179.5,8.0,28.0,4.9,180.2,6.8,Arena Fonte Nova
Flamengo,2021,13,25/07/2021,16:00,Domingo,07,São Paulo,Vitória,5,1,Mandante,Felipe Fernandes de Lima,30.0,4.7,180.0,6.9,25.8,5.3,179.5,6.2,Estádio do Maracanã
Flamengo,2021,14,01/08/2021,16:00,Domingo,08,Corinthians,Vitória,3,1,Visitante,Leandro Pedro Vuaden,30.9,4.0,181.1,6.8,28.9,5.3,179.6,9.3,Neo Química Arena
Flamengo,2021,15,08/08/2021,18:15,Domingo,08,Internacional,Derrota,0,4,Mandante,Paulo Roberto Alves Junior,30.9,4.0,181.1,6.8,27.7,4.7,181.0,5.0,Estádio do Maracanã
